id,code,usage_limit,usage_count,expiration_hours,created_at,expires_at,discount_type,discount_value,is_active,company_id
40,150De,12,7,240,2025-08-01 15:31:58.861,2025-08-11 15:31:58.861,fixed,150,true,BAMO
45,560DE,1,1,24,2025-08-02 00:46:57.006,2025-08-03 00:46:57.006,fixed,560,true,BAMO
47,120DE,1,0,24,2025-08-02 02:31:44.843,2025-08-03 02:31:44.843,fixed,120,true,BAMO
48,70DE,1,1,24,2025-08-02 16:55:47.775,2025-08-03 16:55:47.775,fixed,70,true,BAMO
55,300DE,3,3,240,2025-08-04 01:14:13.651,2025-08-14 01:14:13.651,fixed,300,true,BAMO
56,200DE,4,4,240,2025-08-04 04:20:52.657,2025-08-14 04:20:52.657,fixed,200,true,BAMO
59,100DE,6,6,240,2025-08-05 22:51:37.314,2025-08-15 22:51:37.314,fixed,100,true,BAMO
60,Total,10,2,24,2025-08-06 02:01:24.75,2025-08-07 02:01:24.75,percentage,100,true,BAMO
61,600DE,1,0,24,2025-08-06 14:29:52.144,2025-08-07 14:29:52.144,fixed,600,true,BAMO
62,550DE,1,0,24,2025-08-07 01:14:06.019,2025-08-08 01:14:06.019,fixed,550,true,BAMO
63,250DE,1,0,24,2025-08-07 02:45:43.976,2025-08-08 02:45:43.976,fixed,250,true,BAMO
65,150DE,4,2,240,2025-08-07 20:29:40.346,2025-08-17 20:29:40.346,fixed,150,true,BAMO
67,50DE,7,7,240,2025-08-07 23:32:52.796,2025-08-17 23:32:52.796,fixed,50,true,BAMO
